10-5|---|---|---|---|---|---|---|$
0|0|0|0|0|0|0|0|$
0|0|0|0|T_Lizard_5|0|0|0|$
0|0|0|0|T_Lizard_4|0|0|0|$
0|0|T_Lizard_1|T_Lizard_2|T_Lizard_3|0|0|0|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|T_Wand_1|0|0|$
0|T_Gold_1|T_Gold_2|T_Gold_3|0|0|T_Wand_2|0|$
0|0|0|0|0|0|0|T_Wand_3|$
--MetaData--|---|---|---|---|---|---|---|$
Grid_Type|1|---|---|---|---|---|---|$
Origin|5|4|---|---|---|---|---|$
isLastLevel|True|---|---|---|---|---|---|$
isRandomLevel|False|---|---|---|---|---|---|$
Next_Level|---|---|---|---|---|---|---|$
--TreasureToFind--|---|---|---|---|---|---|---|$
Lizard|---|---|---|---|---|---|---|$
Wand|---|---|---|---|---|---|---|$
Gold|---|---|---|---|---|---|---|$
--TreasureRotations--|---|---|---|---|---|---|---|$
Rotate90|---|---|---|---|---|---|---|$
Rotate270|---|---|---|---|---|---|---|$
Rotate90|---|---|---|---|---|---|---|$
--Hints--|---|---|---|---|---|---|---|$
(-1,1)|---|---|---|---|---|---|---|$
(0,-1)|---|---|---|---|---|---|---|$
(-3,-2)|---|---|---|---|---|---|---|$
--Tools--|---|---|---|---|---|---|---|$
Shovel|11|---|---|---|---|---|---|$
Pickaxe|11|---|---|---|---|---|---|$
Bomb|11|---|---|---|---|---|---|$
