1-12|---|---|---|---|---|---|---|$
0|0|0|0|0|0|0|T_Wand_3|$
0|0|0|0|0|0|T_Wand_2|0|$
0|0|0|0|0|T_Wand_1|0|0|$
0|T_Chest_4|T_Chest_1|0|0|0|0|0|$
0|T_Chest_5|T_Chest_2|0|0|0|0|0|$
0|T_Chest_6|T_Chest_3|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
--MetaData--|---|---|---|---|---|---|---|$
Grid_Type|0|---|---|---|---|---|---|$
Origin|0|0|---|---|---|---|---|$
isLastLevel|False|---|---|---|---|---|---|$
isRandomLevel|False|---|---|---|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/1-13.asset|---|---|---|---|---|---|$
--TreasureToFind--|---|---|---|---|---|---|---|$
Wand|---|---|---|---|---|---|---|$
Chest|---|---|---|---|---|---|---|$
--TreasureRotations--|---|---|---|---|---|---|---|$
None|---|---|---|---|---|---|---|$
Rotate270|---|---|---|---|---|---|---|$
--Hints--|---|---|---|---|---|---|---|$
A8|---|---|---|---|---|---|---|$
D3|---|---|---|---|---|---|---|$
--Tools--|---|---|---|---|---|---|---|$
Shovel|11|---|---|---|---|---|---|$
