1-5|---|---|---|---|$
T_Gold_1|0|0|0|0|$
T_Gold_2|0|0|0|0|$
T_Gold_3|0|0|0|0|$
0|0|0|0|0|$
0|0|0|0|0|$
--MetaData--|---|---|---|---|$
Grid_Type|0|---|---|---|$
Origin|0|0|---|---|$
isLastLevel|False|---|---|---|$
isRandomLevel|False|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/1-6.asset|---|---|---|$
--TreasureToFind--|---|---|---|---|$
Gold|---|---|---|---|$
--TreasureRotations--|---|---|---|---|$
None|---|---|---|---|$
--Hints--|---|---|---|---|$
A1|---|---|---|---|$
--Tools--|---|---|---|---|$
Shovel|4|---|---|---|$
