1-8|---|---|---|---|$
0|0|0|0|0|$
0|0|0|0|T_Diamond_1|$
0|0|0|T_Diamond_4|T_Diamond_2|$
0|0|0|0|T_Diamond_3|$
T_Gold_3|T_Gold_2|T_Gold_1|0|0|$
--MetaData--|---|---|---|---|$
Grid_Type|1|---|---|---|$
Origin|0|0|---|---|$
isLastLevel|False|---|---|---|$
isRandomLevel|False|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/1-9.asset|---|---|---|$
--TreasureToFind--|---|---|---|---|$
Diamond|---|---|---|---|$
Gold|---|---|---|---|$
--TreasureRotations--|---|---|---|---|$
Rotate270|---|---|---|---|$
Rotate270|---|---|---|---|$
--Hints--|---|---|---|---|$
(4, -2)|---|---|---|---|$
(1 -4)|---|---|---|---|$
--Tools--|---|---|---|---|$
Shovel|7|---|---|---|$
Pickaxe|3|---|---|---|$
Bomb|3|---|---|---|$
