1-12|---|---|---|---|---|---|---|---|---|$
T_Gold_1|0|0|0|0|0|0|0|0|0|$
T_Gold_2|0|0|0|0|0|0|0|0|0|$
T_Gold_3|0|0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|0|0|$
--MetaData--|---|---|---|---|---|---|---|---|---|$
Grid_Type|0|---|---|---|---|---|---|---|---|$
Origin|0|0|---|---|---|---|---|---|---|$
isLastLevel|True|---|---|---|---|---|---|---|---|$
isRandomLevel|False|---|---|---|---|---|---|---|---|$
Next_Level|---|---|---|---|---|---|---|---|---|$
--TreasureToFind--|---|---|---|---|---|---|---|---|---|$
Gold|---|---|---|---|---|---|---|---|---|$
--TreasureRotations--|---|---|---|---|---|---|---|---|---|$
None|---|---|---|---|---|---|---|---|---|$
--Hints--|---|---|---|---|---|---|---|---|---|$
A1|---|---|---|---|---|---|---|---|---|$
--Tools--|---|---|---|---|---|---|---|---|---|$
Shovel|3|---|---|---|---|---|---|---|---|$
Pickaxe|0|---|---|---|---|---|---|---|---|$
Bomb|0|---|---|---|---|---|---|---|---|$
