1-13|---|---|---|---|---|---|---|$
0|0|0|0|0|0|0|0|$
0|0|0|0|T_Lizard_3|T_Lizard_2|T_Lizard_1|0|$
0|0|0|0|T_Lizard_4|0|0|0|$
0|0|0|0|T_Lizard_5|0|0|0|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|T_Wand_1|0|0|$
0|0|0|0|0|0|T_Wand_2|0|$
0|0|0|0|0|0|0|T_Wand_3|$
--MetaData--|---|---|---|---|---|---|---|$
Grid_Type|0|---|---|---|---|---|---|$
Origin|0|0|---|---|---|---|---|$
isLastLevel|False|---|---|---|---|---|---|$
isRandomLevel|False|---|---|---|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/2-1.asset|---|---|---|---|---|---|$
--TreasureToFind--|---|---|---|---|---|---|---|$
Wand|---|---|---|---|---|---|---|$
Lizard|---|---|---|---|---|---|---|$
--TreasureRotations--|---|---|---|---|---|---|---|$
Rotate270|---|---|---|---|---|---|---|$
Rotate270|---|---|---|---|---|---|---|$
--Hints--|---|---|---|---|---|---|---|$
H8|---|---|---|---|---|---|---|$
B5|---|---|---|---|---|---|---|$
--Tools--|---|---|---|---|---|---|---|$
Shovel|10|---|---|---|---|---|---|$
