2-5|---|---|---|---|$
0|0|T_Necklace_1|T_Necklace_2|T_Necklace_3|$
0|0|T_Necklace_4|0|T_Necklace_5|$
0|0|T_Necklace_6|T_Necklace_7|T_Necklace_8|$
0|0|0|0|0|$
0|0|0|0|0|$
--MetaData--|---|---|---|---|$
Grid_Type|1|---|---|---|$
Origin|0|4|---|---|$
isLastLevel|False|---|---|---|$
isRandomLevel|False|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/2-6.asset|---|---|---|$
--TreasureToFind--|---|---|---|---|$
Necklace|---|---|---|---|$
--TreasureRotations--|---|---|---|---|$
None|---|---|---|---|$
None|---|---|---|---|$
--Hints--|---|---|---|---|$
(4,4)|---|---|---|---|$
--Tools--|---|---|---|---|$
Shovel|9|---|---|---|$
