1-6|---|---|---|---|$
0|0|0|T_Wand_1|0|$
0|0|T_Wand_2|0|0|$
0|T_Wand_3|T_Gold_1|0|0|$
0|0|T_Gold_2|0|0|$
0|0|T_Gold_3|0|0|$
--MetaData--|---|---|---|---|$
Grid_Type|1|---|---|---|$
Origin|2|2|---|---|$
--TreasureToFind--|---|---|---|---|$
Wand|---|---|---|---|$
Gold|---|---|---|---|$
--TreasureRotations--|---|---|---|---|$
None|---|---|---|---|$
None|---|---|---|---|$
--Hints--|---|---|---|---|$
(0, 1)|---|---|---|---|$
(0, -1)|---|---|---|---|$
--Tools--|---|---|---|---|$
Shovel|7|---|---|---|$
Pickaxe|3|---|---|---|$
Bomb|3|---|---|---|$
