2-7|---|---|---|---|$
0|0|0|0|0|$
0|0|T_Octopus_1|T_Octopus_2|T_Octopus_3|$
0|0|T_Octopus_4|T_Gold_1|T_Octopus_5|$
0|0|0|T_Gold_2|0|$
0|0|0|T_Gold_3|0|$
--MetaData--|---|---|---|---|$
Grid_Type|1|---|---|---|$
Origin|0|4|---|---|$
isLastLevel|False|---|---|---|$
isRandomLevel|False|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/2-8.asset|---|---|---|$
--TreasureToFind--|---|---|---|---|$
Octopus|---|---|---|---|$
Gold|---|---|---|---|$
--TreasureRotations--|---|---|---|---|$
None|---|---|---|---|$
None|---|---|---|---|$
--Hints--|---|---|---|---|$
(2,3)|---|---|---|---|$
(2,2)|---|---|---|---|$
--Tools--|---|---|---|---|$
Shovel|8|---|---|---|$
