1-8|---|---|---|---|$
0|0|T_Gold_1|0|0|$
0|0|T_Gold_2|0|0|$
0|0|T_Gold_3|0|0|$
0|0|T_Chest_1|T_Chest_2|T_Chest_3|$
0|0|T_Chest_4|T_Chest_5|T_Chest_6|$
--MetaData--|---|---|---|---|$
Grid_Type|0|---|---|---|$
Origin|0|0|---|---|$
isLastLevel|False|---|---|---|$
isRandomLevel|False|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/1-9.asset|---|---|---|$
--TreasureToFind--|---|---|---|---|$
Gold|---|---|---|---|$
Chest|---|---|---|---|$
--TreasureRotations--|---|---|---|---|$
None|---|---|---|---|$
None|---|---|---|---|$
--Hints--|---|---|---|---|$
A3|---|---|---|---|$
E5|---|---|---|---|$
--Tools--|---|---|---|---|$
Shovel|9|---|---|---|$
