2-13|---|---|---|---|---|---|---|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
T_Octopus_3|T_Octopus_5|0|T_Chest_3|T_Chest_6|0|T_Gold_1|0|$
T_Octopus_2|0|0|T_Chest_2|T_Chest_5|0|T_Gold_2|0|$
T_Octopus_1|T_Octopus_4|0|T_Chest_1|T_Chest_4|0|T_Gold_3|0|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
--MetaData--|---|---|---|---|---|---|---|$
Grid_Type|1|---|---|---|---|---|---|$
Origin|0|7|---|---|---|---|---|$
isLastLevel|False|---|---|---|---|---|---|$
isRandomLevel|False|---|---|---|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/3-1.asset|---|---|---|---|---|---|$
--TreasureToFind--|---|---|---|---|---|---|---|$
Chest|---|---|---|---|---|---|---|$
Octopus|---|---|---|---|---|---|---|$
Gold|---|---|---|---|---|---|---|$
--TreasureRotations--|---|---|---|---|---|---|---|$
Rotate90|---|---|---|---|---|---|---|$
Rotate90|---|---|---|---|---|---|---|$
None|---|---|---|---|---|---|---|$
--Hints--|---|---|---|---|---|---|---|$
(3,3)|---|---|---|---|---|---|---|$
(0,3)|---|---|---|---|---|---|---|$
(6,3)|---|---|---|---|---|---|---|$
--Tools--|---|---|---|---|---|---|---|$
Shovel|14|---|---|---|---|---|---|$
