2-10|---|---|---|---|---|---|---|$
0|0|0|0|0|0|0|0|$
T_Wand_3|0|0|0|0|0|0|0|$
0|T_Wand_2|0|0|0|0|0|0|$
T_Diamond_3|0|T_Wand_1|0|0|0|0|0|$
T_Diamond_2|T_Diamond_4|0|0|0|0|0|0|$
T_Diamond_1|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
--MetaData--|---|---|---|---|---|---|---|$
Grid_Type|1|---|---|---|---|---|---|$
Origin|0|7|---|---|---|---|---|$
isLastLevel|False|---|---|---|---|---|---|$
isRandomLevel|False|---|---|---|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/2-11.asset|---|---|---|---|---|---|$
--TreasureToFind--|---|---|---|---|---|---|---|$
Diamond|---|---|---|---|---|---|---|$
Wand|---|---|---|---|---|---|---|$
--TreasureRotations--|---|---|---|---|---|---|---|$
Rotate90|---|---|---|---|---|---|---|$
Rotate90|---|---|---|---|---|---|---|$
--Hints--|---|---|---|---|---|---|---|$
(0,2)|---|---|---|---|---|---|---|$
(0,6)|---|---|---|---|---|---|---|$
--Tools--|---|---|---|---|---|---|---|$
Shovel|9|---|---|---|---|---|---|$
