1-9|---|---|---|---|---|---|---|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
0|0|0|T_Gold_1|T_Gold_2|T_Gold_3|0|0|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
--MetaData--|---|---|---|---|---|---|---|$
Grid_Type|0|---|---|---|---|---|---|$
Origin|0|0|---|---|---|---|---|$
isLastLevel|False|---|---|---|---|---|---|$
isRandomLevel|False|---|---|---|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/1-10.asset|---|---|---|---|---|---|$
--TreasureToFind--|---|---|---|---|---|---|---|$
Gold|---|---|---|---|---|---|---|$
--TreasureRotations--|---|---|---|---|---|---|---|$
Rotate90|---|---|---|---|---|---|---|$
--Hints--|---|---|---|---|---|---|---|$
D5|---|---|---|---|---|---|---|$
--Tools--|---|---|---|---|---|---|---|$
Shovel|5|---|---|---|---|---|---|$
