1-7|---|---|---|---|$
0|0|0|0|0|$
0|0|0|0|0|$
T_Lizard_1|0|0|0|0|$
T_Lizard_2|0|T_Diamond_1|T_Diamond_2|T_Diamond_3|$
T_Lizard_3|T_Lizard_4|T_Lizard_5|T_Diamond_4|0|$
--MetaData--|---|---|---|---|$
Grid_Type|0|---|---|---|$
Origin|0|0|---|---|$
isLastLevel|False|---|---|---|$
isRandomLevel|False|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/1-8.asset|---|---|---|$
--TreasureToFind--|---|---|---|---|$
Lizard|---|---|---|---|$
Diamond|---|---|---|---|$
--TreasureRotations--|---|---|---|---|$
None|---|---|---|---|$
None|---|---|---|---|$
--Hints--|---|---|---|---|$
C1|---|---|---|---|$
D4|---|---|---|---|$
--Tools--|---|---|---|---|$
Shovel|10|---|---|---|$
