2-4|---|---|---|---|$
0|0|0|0|0|$
0|0|0|0|0|$
0|T_Chest_1|T_Chest_2|T_Chest_3|0|$
0|T_Chest_4|T_Chest_5|T_Chest_6|0|$
0|0|0|0|0|$
--MetaData--|---|---|---|---|$
Grid_Type|1|---|---|---|$
Origin|0|4|---|---|$
isLastLevel|False|---|---|---|$
isRandomLevel|False|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/2-5.asset|---|---|---|$
--TreasureToFind--|---|---|---|---|$
Chest|---|---|---|---|$
--TreasureRotations--|---|---|---|---|$
None|---|---|---|---|$
None|---|---|---|---|$
--Hints--|---|---|---|---|$
(2,2)|---|---|---|---|$
--Tools--|---|---|---|---|$
Shovel|8|---|---|---|$
