3-13|---|---|---|---|---|---|---|$
0|0|0|0|0|0|0|0|$
0|0|0|0|0|0|0|0|$
0|0|0|T_Necklace_1|T_Necklace_2|T_Necklace_3|0|0|$
0|0|0|T_Necklace_4|0|T_Necklace_5|0|0|$
0|0|T_Shards_4|T_Necklace_6|T_Necklace_7|T_Necklace_8|0|0|$
0|0|T_Shards_3|T_Shards_2|0|T_Wand_3|0|0|$
0|0|0|T_Shards_1|T_Wand_2|0|0|0|$
0|0|0|T_Wand_1|0|0|0|0|$
--MetaData--|---|---|---|---|---|---|---|$
Grid_Type|1|---|---|---|---|---|---|$
Origin|7|0|---|---|---|---|---|$
isLastLevel|False|---|---|---|---|---|---|$
isRandomLevel|False|---|---|---|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/3-14.asset|---|---|---|---|---|---|$
--TreasureToFind--|---|---|---|---|---|---|---|$
Necklace|---|---|---|---|---|---|---|$
Shards|---|---|---|---|---|---|---|$
Wand|---|---|---|---|---|---|---|$
--TreasureRotations--|---|---|---|---|---|---|---|$
None|---|---|---|---|---|---|---|$
Rotate90|---|---|---|---|---|---|---|$
None|---|---|---|---|---|---|---|$
--Hints--|---|---|---|---|---|---|---|$
(-4,-4)|---|---|---|---|---|---|---|$
(-5,-4)|---|---|---|---|---|---|---|$
(-3,-5)|---|---|---|---|---|---|---|$
--Tools--|---|---|---|---|---|---|---|$
Shovel|15|---|---|---|---|---|---|$
