1-10|---|---|---|---|$
0|0|0|0|0|$
0|T_Lizard_1|0|0|0|$
0|T_Lizard_2|T_Gold_3|T_Gold_2|T_Gold_1|$
0|T_Lizard_3|T_Lizard_4|T_Lizard_5|0|$
0|0|0|0|0|$
--MetaData--|---|---|---|---|$
Grid_Type|1|---|---|---|$
Origin|0|0|---|---|$
isLastLevel|False|---|---|---|$
isRandomLevel|False|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/1-11.asset|---|---|---|$
--TreasureToFind--|---|---|---|---|$
Lizard|---|---|---|---|$
Gold|---|---|---|---|$
--TreasureRotations--|---|---|---|---|$
None|---|---|---|---|$
Rotate270|---|---|---|---|$
--Hints--|---|---|---|---|$
(3, -3)|---|---|---|---|$
(2, -2)|---|---|---|---|$
--Tools--|---|---|---|---|$
Shovel|9|---|---|---|$
Pickaxe|3|---|---|---|$
Bomb|3|---|---|---|$
