1-7|---|---|---|---|$
0|0|0|0|0|$
0|0|0|0|0|$
0|T_Gold_3|T_Gold_2|T_Gold_1|0|$
0|0|0|0|0|$
0|0|0|0|0|$
--MetaData--|---|---|---|---|$
Grid_Type|1|---|---|---|$
Origin|0|0|---|---|$
isLastLevel|False|---|---|---|$
isRandomLevel|False|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/1-8.asset|---|---|---|$
--TreasureToFind--|---|---|---|---|$
Gold|---|---|---|---|$
--TreasureRotations--|---|---|---|---|$
Rotate270|---|---|---|---|$
--Hints--|---|---|---|---|$
(2, -2)|---|---|---|---|$
--Tools--|---|---|---|---|$
Shovel|5|---|---|---|$
Pickaxe|3|---|---|---|$
Bomb|3|---|---|---|$
