1-3|---|---|---|$
0|T_Diamond_1|T_Diamond_2|T_Diamond_3|$
T_Gold_1|0|T_Diamond_4|0|$
T_Gold_2|0|0|0|$
T_Gold_3|0|0|0|$
--MetaData--|---|---|---|$
Grid_Type|0|---|---|$
Origin|0|0|---|$
isLastLevel|False|---|---|$
isRandomLevel|False|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/1-4.asset|---|---|$
--TreasureToFind--|---|---|---|$
Gold|---|---|---|$
Diamond|---|---|---|$
--TreasureRotations--|---|---|---|$
None|---|---|---|$
None|---|---|---|$
--Hints--|---|---|---|$
C1|---|---|---|$
A3|---|---|---|$
--Tools--|---|---|---|$
Shovel|9|---|---|$
Pickaxe|3|---|---|$
Bomb|3|---|---|$
