1-11|---|---|---|---|$
0|0|0|0|0|$
0|T_Lizard_5|T_Lizard_4|T_Lizard_3|0|$
0|0|0|T_Lizard_2|0|$
0|0|0|T_Lizard_1|0|$
0|0|0|0|0|$
--MetaData--|---|---|---|---|$
Grid_Type|1|---|---|---|$
Origin|2|2|---|---|$
isLastLevel|False|---|---|---|$
isRandomLevel|False|---|---|---|$
Next_Level|Assets/Resources/ScriptableObjects/LevelData/1-12.asset|---|---|---|$
--TreasureToFind--|---|---|---|---|$
Lizard|---|---|---|---|$
--TreasureRotations--|---|---|---|---|$
Rotate180|---|---|---|---|$
--Hints--|---|---|---|---|$
(-1, 1)|---|---|---|---|$
--Tools--|---|---|---|---|$
Shovel|9|---|---|---|$
Pickaxe|3|---|---|---|$
Bomb|3|---|---|---|$
